contig	D100_OUT	D11_OUT	D17_OUT	D26_OUT	D27_OUT	D2_OUT	D32_OUT	D34_OUT	D36_OUT	D40_OUT	D42_OUT	D60_OUT	D65_OUT	D71_OUT	D7_OUT	D85_OUT	D87_OUT	D88_OUT	D92_OUT
p_00000082	0.0	0.4333855799373041	0.0	0.0	0.0	0.40625	0.0	0.0	0.0	0.0	0.0	0.29411764705882354	0.0	0.0	0.0	0.0	0.0	0.0	0.25301204819277107
p_00000083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3146067415730337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000086	0.0	0.29753632343651293	0.0	0.0	0.0	0.0	0.0	0.0	0.2955112219451372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000087	0.0	0.29905956112852666	0.0	0.0	0.0	0.0	0.0	0.0	0.3312958435207824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000089	0.0	0.0	0.3774145616641902	0.47058823529411764	0.0	0.0	0.0	0.0	0.3677811550151976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000092	0.0	0.2705146036161335	0.4789473684210526	0.0	0.0	0.0	0.0	0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000094	0.0	0.33214829862874556	0.0	0.25308641975308643	0.0	0.0	0.0	0.0	0.2687007874015748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000098	0.0	0.2799105478941483	0.0	0.0	0.48297213622291024	0.0	0.2702702702702703	0.0	0.3090787716955941	0.0	0.45	0.42105263157894735	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000100	0.0	0.0	0.0	0.46956521739130436	0.0	0.27722772277227725	0.0	0.0	0.40827586206896554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000102	0.0	0.0	0.3810082063305979	0.33962264150943394	0.0	0.0	0.0	0.46846846846846846	0.39106529209621993	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000103	0.0	0.35140771637122004	0.35545023696682465	0.45695364238410596	0.0	0.0	0.0	0.4811320754716981	0.3961038961038961	0.0	0.0	0.35294117647058826	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000104	0.0	0.0	0.36597938144329895	0.2995169082125604	0.0	0.2847222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36363636363636365
p_00000106	0.0	0.4991394148020654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000108	0.0	0.37296690970274815	0.5064695009242144	0.0	0.0	0.0	0.0	0.3076923076923077	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33827893175074186	0.0	0.0
p_00000112	0.0	0.4181752353367125	0.0	0.4646017699115044	0.0	0.30656934306569344	0.0	0.0	0.3383233532934132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26153846153846155
p_00000115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.3673469387755102	0.0	0.0	0.0	0.0	0.0
p_00000117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4166666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000119	0.0	0.37159676232523914	0.0	0.0	0.0	0.29245283018867924	0.0	0.0	0.0	0.0	0.0	0.35294117647058826	0.0	0.0	0.0	0.0	0.0	0.0	0.33962264150943394
p_00000121	0.0	0.0	0.0	0.0	0.0	0.4789915966386555	0.0	0.3181818181818182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000122	0.0	0.4246575342465753	0.0	0.0	0.0	0.37209302325581395	0.0	0.4935064935064935	0.31958762886597936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000123	0.0	0.3133281371784879	0.0	0.4315068493150685	0.0	0.4188034188034188	0.0	0.0	0.4739538855678907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000124	0.0	0.31762917933130697	0.0	0.4178082191780822	0.0	0.42735042735042733	0.0	0.0	0.47615062761506277	0.0	0.0	0.3076923076923077	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000125	0.0	0.31939684715558603	0.0	0.4357142857142857	0.0	0.432	0.0	0.0	0.4928511354079058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000126	0.0	0.32340425531914896	0.0	0.4642857142857143	0.0	0.45217391304347826	0.0	0.0	0.4982758620689655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000127	0.0	0.32150461320085166	0.0	0.4642857142857143	0.0	0.4690265486725664	0.0	0.0	0.4974137931034483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000128	0.0	0.32264957264957267	0.0	0.460431654676259	0.0	0.44954128440366975	0.0	0.0	0.49740034662045063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000129	0.0	0.3187195546276966	0.0	0.45185185185185184	0.0	0.4444444444444444	0.0	0.0	0.5012987012987012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000130	0.0	0.0	0.0	0.0	0.0	0.3360655737704918	0.0	0.0	0.26011102299762096	0.0	0.0	0.38461538461538464	0.0	0.0	0.0	0.0	0.0	0.0	0.2608695652173913
p_00000134	0.0	0.4364224137931034	0.0	0.4745762711864407	0.0	0.0	0.0	0.0	0.29711375212224106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000138	0.0	0.0	0.0	0.0	0.0	0.0	0.28846153846153844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000149	0.0	0.0	0.4720229555236729	0.0	0.0	0.0	0.0	0.4260869565217391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000165	0.0	0.3980121002592913	0.0	0.0	0.0	0.33986928104575165	0.0	0.0	0.42857142857142855	0.0	0.0	0.3181818181818182	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4954128440366973	0.0	0.0
p_00000168	0.0	0.33384536610343063	0.0	0.0	0.0	0.3252032520325203	0.0	0.0	0.4906085649887303	0.0	0.0	0.42857142857142855	0.0	0.0	0.0	0.0	0.0	0.0	0.3673469387755102
p_00000180	0.0	0.2580019398642095	0.0	0.0	0.0	0.0	0.0	0.32558139534883723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000181	0.0	0.4537712895377129	0.0	0.0	0.0	0.0	0.0	0.0	0.27109111361079863	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.2608695652173913
p_00000185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000191	0.0	0.0	0.0	0.0	0.0	0.4461538461538462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000192	0.0	0.0	0.0	0.0	0.0	0.4405594405594406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000193	0.0	0.0	0.0	0.0	0.0	0.4835164835164835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000195	0.0	0.3058527375707992	0.4723076923076923	0.26515151515151514	0.0	0.34513274336283184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37333333333333335	0.0	0.0
p_00000200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40384615384615385	0.0	0.0
p_00000202	0.0	0.282561505065123	0.0	0.0	0.0	0.2682926829268293	0.0	0.0	0.4038353073886069	0.0	0.0	0.46153846153846156	0.0	0.0	0.0	0.0	0.0	0.0	0.2542372881355932
p_00000204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000205	0.0	0.0	0.0	0.0	0.0	0.43137254901960786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25200356188780054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45161290322580644
p_00000208	0.0	0.48039825762289984	0.0	0.0	0.0	0.3103448275862069	0.0	0.0	0.4021257750221435	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.3684210526315789
p_00000211	0.0	0.3396124865446717	0.0	0.0	0.0	0.0	0.4838709677419355	0.0	0.3090507726269316	0.0	0.0	0.2727272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.43283582089552236
p_00000212	0.0	0.4990393852065322	0.0	0.0	0.0	0.34	0.0	0.0	0.3998100664767331	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.3
p_00000213	0.0	0.359612724757953	0.0	0.0	0.0	0.3488372093023256	0.0	0.0	0.3485342019543974	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.26666666666666666
p_00000214	0.0	0.0	0.0	0.0	0.0	0.4845360824742268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000215	0.3055091819699499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44715447154471544
p_00000216	0.0	0.40028901734104044	0.0	0.0	0.0	0.0	0.0	0.0	0.31812577065351416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000217	0.0	0.39609483960948394	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.4075471698113208	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000218	0.0	0.2716180371352785	0.0	0.474025974025974	0.0	0.0	0.0	0.0	0.36751548520302824	0.0	0.0	0.47058823529411764	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000226	0.4915711395819285	0.28123958680439853	0.4214876033057851	0.2606060606060606	0.47244094488188976	0.43190661478599224	0.3582089552238806	0.45714285714285713	0.36789129340714644	0.4745269286754003	0.3695652173913043	0.2857142857142857	0.0	0.0	0.3941908713692946	0.0	0.0	0.0	0.4
p_00000227	0.32447552447552447	0.5843491938655132	0.45374094931617054	0.3937007874015748	0.38461538461538464	0.4567307692307692	0.43661971830985913	0.41216216216216217	0.4930643127364439	0.3231046931407942	0.42424242424242425	0.0	0.0	0.0	0.41044776119402987	0.0	0.0	0.0	0.5
p_00000228	0.3237762237762238	0.4403921568627451	0.45024077046548955	0.3937007874015748	0.3782051282051282	0.45933014354066987	0.43661971830985913	0.40540540540540543	0.4883866917765223	0.32321428571428573	0.42424242424242425	0.0	0.0	0.0	0.4007352941176471	0.0	0.0	0.0	0.5
p_00000229	0.3220108695652174	0.4189693801344287	0.45245641838351824	0.38345864661654133	0.38125	0.4423963133640553	0.4520547945205479	0.40789473684210525	0.4832009773976787	0.3293103448275862	0.46153846153846156	0.0	0.0	0.0	0.4013840830449827	0.0	0.0	0.0	0.49333333333333335
p_00000230	0.0	0.2893681043129388	0.0	0.0	0.0	0.0	0.42727272727272725	0.0	0.3127413127413127	0.0	0.2702702702702703	0.35714285714285715	0.0	0.0	0.0	0.0	0.0	0.0	0.3645833333333333
p_00000231	0.48545765611633873	0.27109591967528307	0.0	0.0	0.4729241877256318	0.4925373134328358	0.49137931034482757	0.4649122807017544	0.3808767471410419	0.48574057037718493	0.2641509433962264	0.2857142857142857	0.0	0.0	0.4647577092511013	0.0	0.0	0.0	0.45454545454545453
p_00000232	0.49084096586178183	0.4592215013901761	0.5889855072463768	0.0	0.49355432780847147	0.44610778443113774	0.4921875	0.35294117647058826	0.35669212886084356	0.4573110893032385	0.3953488372093023	0.0	0.0	0.0	0.49271844660194175	0.0	0.0	0.0	0.34838709677419355
p_00000233	0.43350062735257217	0.0	0.3183707398171239	0.0	0.4164305949008499	0.3179916317991632	0.0	0.3387096774193548	0.0	0.42511346444780634	0.0	0.0	0.0	0.0	0.3788546255506608	0.0	0.0	0.0	0.0
p_00000235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3975609756097561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3971631205673759	0.0	0.0
p_00000239	0.0	0.3690830850711685	0.0	0.0	0.0	0.4451219512195122	0.0	0.0	0.29548627268496974	0.0	0.0	0.4166666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.288135593220339
p_00000240	0.0	0.377326565143824	0.0	0.0	0.0	0.3821656050955414	0.0	0.0	0.2970941883767535	0.0	0.0	0.46153846153846156	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000241	0.0	0.3626373626373626	0.0	0.0	0.0	0.3310344827586207	0.0	0.0	0.3251287922152261	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.2597402597402597
p_00000258	0.0	0.0	0.0	0.42196531791907516	0.0	0.0	0.0	0.38613861386138615	0.0	0.0	0.0	0.3157894736842105	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000259	0.0	0.0	0.0	0.0	0.0	0.34146341463414637	0.0	0.0	0.0	0.0	0.0	0.4166666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000260	0.0	0.4051412020275163	0.0	0.0	0.0	0.43506493506493504	0.0	0.3888888888888889	0.0	0.0	0.0	0.46153846153846156	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000262	0.0	0.42881213142375735	0.0	0.0	0.0	0.39855072463768115	0.0	0.0	0.3203125	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000264	0.0	0.0	0.0	0.2608695652173913	0.0	0.0	0.0	0.3684210526315789	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000265	0.0	0.35074013157894735	0.0	0.3983739837398374	0.0	0.0	0.0	0.47674418604651164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29213483146067415
p_00000266	0.0	0.4817615658362989	0.0	0.2655367231638418	0.0	0.0	0.0	0.0	0.28377230246389124	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000267	0.0	0.46069103655483223	0.0	0.0	0.0	0.3013698630136986	0.0	0.0	0.2700087950747581	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000268	0.0	0.0	0.0	0.0	0.0	0.25735294117647056	0.0	0.35802469135802467	0.4503610108303249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25
p_00000269	0.0	0.45202952029520294	0.0	0.0	0.0	0.0	0.0	0.4625	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000270	0.0	0.3851528384279476	0.0	0.4657534246575342	0.0	0.0	0.0	0.0	0.34615384615384615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000271	0.0	0.26410564225690275	0.0	0.3712121212121212	0.0	0.0	0.0	0.0	0.36793183578621225	0.0	0.0	0.35294117647058826	0.0	0.0	0.0	0.0	0.0	0.0	0.0
p_00000272	0.0	0.2887218045112782	0.0	0.3974358974358974	0.0	0.0	0.0	0.0	0.4307479224376731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
